name,year,general,location,terrain,attacker_troops,defender_troops,attacker_tactics,defender_tactics,outcome,key_lesson,general_insight
List of World War II battles,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"This is a list of World War II battles encompassing land, naval, and air engagements as well as campaigns, operations, defensive lines and sieges. Campaigns generally refer to broader strategic operat"
Rhode Island,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Rhode Island (also known as the Battle of Quaker Hill) took place on August 29, 1778. Continental Army and militia forces under the command of Major-general John Sullivan had been besieg"
Sekigahara,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Sekigahara (Shinjitai: 関ヶ原の戦い; Kyūjitai: 關ヶ原の戰い, Hepburn romanization: Sekigahara no Tatakai) was an important battle in Japan which occurred on October 21, 1600 (Keichō 5, 15th day of t"
List of Roman external wars and battles,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The following is a list of Roman external wars and battles fought by the ancient Roman Kingdom, Roman Republic and Roman Empire against external enemies, organized by date. For internal civil wars, re"
Rohilla,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Rohilla, also known as the Battle of Hargobindpur, was a 1621 campaign by the Mughal Empire against the growing influence of the Sikhs.
After the execution of Guru Arjan Dev, Guru Hargob"
Second Nanawa,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Second Battle of Nanawa was fought from the 4 to 9 July 1933, between the Bolivian and Paraguayan armies during the Chaco War. It was one of the bloodiest battles fought in South America in the 20"
Marj al-Saffar (1303),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Marj al-Saffar (or Marj al-Suffar), also known as the Battle of Shaqhab, took place on April 20 through April 22, 1303 between the Mamluks and the Mongols and their Armenian allies near "
Wars of Alexander the Great,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The wars of Alexander the Great were a series of conquests carried out by Alexander III of Macedon from 336 to 323 BC. They began with battles against the Achaemenid Empire, then under the rule of Dar"
Dyrrhachium (1081),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Dyrrhachium took place on October 18, 1081 between the Byzantine Empire, led by the Emperor Alexios I Komnenos (r. 1081–1118), and the Normans of southern Italy under Robert Guiscard, Du"
P'ohang-dong,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of P'ohang-dong was an engagement between the United Nations Command (UN) and North Korean forces early in the Korean War, with fighting continuing from 5–20 August 1950 around the town of "
Korea Strait,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Korea Strait was a single ship action fought on the first day of the Korean War, 25–26 June 1950, between the navies of South Korea and North Korea. A North Korean troop transport carryi"
Historical Medieval Battles,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Historical Medieval Battles (HMB) or Buhurt (from Old French béhourd: ""joust"", ""tournament"") or Armored Combat  is a modern full contact fighting sport with steel blunt weapons characteristic for the "
List of battles of the War of the Fifth Coalition,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"This is a list of sieges, land and naval battles of the War of the Fifth Coalition (10 April – 14 October 1809)."
Haifa (1948),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Haifa, also known as the Fall of Haifa, and called by the Jewish forces Operation Bi'ur Hametz (Hebrew: מבצע ביעור חמץ ""Passover Cleansing""), was a Haganah operation carried out on 21–22"
Khanwa,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Khanwa was fought at Khanwa in modern-day Rajasthan on 16 March 1527, between the Mughal Empire, led by Babur, and the Kingdom of Mewar, led by Rana Sanga for supremacy of Northern India"
Tanks in World War I,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The development of tanks in World War I was a response to the stalemate that developed on the Western Front. Although vehicles that incorporated the basic principles of the tank (armour, firepower, an"
the Bulge,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of the Bulge, also known as the Ardennes Offensive or Unternehmen Wacht am Rhein, was the last major German offensive campaign on the Western Front during the Second World War, taking place"
Chief of War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Chief of War is a Hawaiian historical drama series created by Thomas Paʻa Sibbett and Jason Momoa for Apple TV+. Momoa also stars in and executive produces the series, which premiered on August 1, 202"
Carrhae,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Carrhae (Latin pronunciation: [ˈkar.rʰae̯]) was fought in 53 BC between the Roman Republic and the Parthian Empire near the ancient town of Carrhae (present-day Harran, Turkey). An invad"
Ratlines (World War II),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The ratlines (German: Rattenlinien) were systems of escape routes used by German Nazis and other fascists to flee Europe from 1945 onwards in the aftermath of World War II. These escape routes mainly 
Korean War order of battle: United States Air Force,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Korean War (25 June 1950 – 27 July 1953) was significant in the fact that it was the first war in which the newly independent United States Air Force was involved.
It was the first time U.S. jet a"
Ascalon,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The siege of Ascalon took place from 25 January to 22 August 1153, in the time period between the Second and Third Crusades, and resulted in the capture of the Fatimid Egyptian fortress by the Kingdom"
Peleliu,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Peleliu, codenamed Operation Stalemate II by the US military, was fought between the United States and Japan during the Mariana and Palau Islands campaign of World War II, from 15 Septem"
Lip Sync Battle,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Lip Sync Battle is an American musical reality competition television series that premiered on April 2, 2015, on the American cable network Spike, later known as Paramount Network. The show is based o"
Reading (871),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Reading was a victory for a Danish Viking army over a West Saxon force on or about 4 January 871 at Reading in Berkshire. The Vikings were led by Bagsecg and Halfdan Ragnarsson and the W
Bibliography of World War II memoirs and autobiographies,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"This is a Bibliography of World War II memoirs and autobiographies. This list aims to include memoirs written by participants of World War II about their wartime experience, as well as larger autobiog"
Sarikamish,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Sarikamish was an engagement between the Russian and Ottoman Empires during World War I. It took place from 22 December 1914, to 17 January 1915, as part of the Caucasus campaign.
The ba"
Timeline of World War I,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,This is a list of the events of World War I in chronological order.
World War II series,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"World War II is a series of books published by Time-Life that chronicles the Second World War. Each book focused on a different topic, such as the resistance, spies, the home front but mainly the batt"
